,Denominacion_Generica_ES,Denominacion,Regimen,Codigo_postal,Localidad,long,lat
0,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT VICENT FERRER,Púb.,46890,AGULLENT,-0.555249,38.821801
1,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR II,Priv. Conc.,46970,ALAQUÀS,-0.461082,39.456408
2,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,Priv. Conc.,46970,ALAQUÀS,-0.463089,39.456027
3,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT MADRE JOSEFA CAMPOS,Priv. Conc.,46970,ALAQUÀS,-0.455729,39.457701
4,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AMPARO ALABAU,Púb.,46970,ALAQUÀS,-0.451083,39.459142
5,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES DOCTOR FAUSTÍ BARBERÁ,Púb.,46970,ALAQUÀS,-0.461402,39.452213
6,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BONAVISTA,Púb.,46970,ALAQUÀS,-0.450954,39.454445
7,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIV. ED. INFANTIL LA INMACULADA,Priv. Conc.,46860,ALBAIDA,-0.519434,38.840267
8,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES JOSEP SEGRELLES,Púb.,46860,ALBAIDA,-0.524898,38.835341
9,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ELÍAS TORMO,Púb.,46860,ALBAIDA,-0.523342,38.83868
10,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,Priv. Conc.,46470,ALBAL,-0.414712,39.397088
11,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SAN BLAS,Púb.,46470,ALBAL,-0.410609,39.396754
12,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JUAN ESTEVE MUÑOZ,Púb.,46470,ALBAL,-0.414934,39.394095
13,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46687,ALBALAT DE LA RIBERA,-0.389926,39.200899
14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EL CASTELL,Púb.,46135,ALBALAT DELS SORELLS,-0.349344,39.544389
15,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT LA MILAGROSA,Priv. Conc.,46260,ALBERIC,-0.518071,39.117496
16,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP RAFAEL COMENGE,Púb.,46260,ALBERIC,-0.524183,39.11416
17,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT PARROQUIAL DON JOSÉ LLUCH,Priv. Conc.,46120,ALBORAIA,-0.354052,39.500398
18,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTA MARÍA-MARIANISTAS,Priv. Conc.,46120,ALBORAIA,-0.353952,39.495547
19,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CERVANTES,Púb.,46120,ALBORAIA,-0.347786,39.502435
20,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP TOMÁS ALBERT,Púb.,46550,ALBUIXECH,-0.327079,39.544809
21,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTÍSIMO CRISTO DE LA FE,Priv. Conc.,46290,ALCÀSSER,-0.443707,39.368607
22,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP 9 D'OCTUBRE,Púb.,46290,ALCÀSSER,-0.448015,39.368478
23,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JAUME I,Púb.,46290,ALCÀSSER,-0.44743,39.371895
24,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CERVANTES,Púb.,46293,ALCÀNTERA DE XÚQUER,-0.559219,39.068388
25,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAGRADA FAMILIA,Priv. Conc.,46600,ALZIRA,-0.425307,39.158588
26,CENTRO DE EDUCACIÓN ESPECIAL,CEE PÚB. COMARCAL CARMEN PICÓ,Púb.,46600,ALZIRA,-0.429569,39.165905
27,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT LA PURÍSIMA,Priv. Conc.,46600,ALZIRA,-0.442275,39.153251
28,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT SANTOS PATRONOS,Priv. Conc.,46600,ALZIRA,-0.434064,39.149693
29,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT XÚQUER CENTRE EDUCATIU,Priv. Conc.,46600,ALZIRA,-0.437511,39.156105
30,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,46600,ALZIRA,-0.431412,39.152873
31,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP GARCÍA LORCA,Púb.,46600,ALZIRA,-0.435467,39.146678
32,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ALBORXÍ,Púb.,46600,ALZIRA,-0.443906,39.15175
33,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46600,ALZIRA,-0.426493,39.146757
34,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES REI EN JAUME,Púb.,46600,ALZIRA,-0.430059,39.146907
35,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES JOSÉ MARÍA PARRA,Púb.,46600,ALZIRA,-0.428537,39.156879
36,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LLUÍS VIVES,Púb.,46600,ALZIRA,-0.443466,39.153676
37,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VALL DE LA CASELLA,Púb.,46600,ALZIRA,-0.422322,39.150576
38,CENTRO INTEGRADO PÚBLICO DE FORMACIÓN PROFESIONAL,CIPFP LUIS SUÑER SANCHIS,Púb.,46600,ALZIRA,-0.430752,39.166104
39,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN ANDRÉS APÓSTOL,Priv. Conc.,46250,L'ALCÚDIA,-0.506637,39.195786
40,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LES COMES,Púb.,46250,L'ALCÚDIA,-0.504912,39.192376
41,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LA SÈNIA,Púb.,46690,L'ALCÚDIA DE CRESPINS,-0.594783,38.971623
42,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT MARIANO SERRA,Priv. Conc.,46960,ALDAIA,-0.45251,39.465207
43,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JUAN ANTONIO MARTÍNEZ TORRES,Púb.,46960,ALDAIA,-0.470446,39.458551
44,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP NUESTRA SEÑORA DEL CARMEN,Púb.,46960,ALDAIA,-0.466286,39.474183
45,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46960,ALDAIA,-0.466109,39.467617
46,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT GUÍA, SL",Priv. Conc.,46910,ALFAFAR,-0.385584,39.421185
47,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT MARÍA INMACULADA,Priv. Conc.,46910,ALFAFAR,-0.392815,39.423763
48,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,CENTRE PRIVAT VAMAR,Priv. Conc.,46910,ALFAFAR,-0.388234,39.424852
49,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ORBA,Púb.,46910,ALFAFAR,-0.401681,39.417766
50,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT RAMÓN Y CAJAL,Priv. Conc.,46115,ALFARA DEL PATRIARCA,-0.388105,39.547694
51,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP DOCTORA ANNA LLUCH,Púb.,46115,ALFARA DEL PATRIARCA,-0.382022,39.543798
52,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT JAUME APÒSTOL,Púb.,46197,ALFARP,-0.559688,39.275651
53,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP DOCTOR BORRÀS,Púb.,46893,ALFARRASÍ,-0.493151,38.902042
54,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN JOSÉ DE CALASANZ,Priv. Conc.,46680,ALGEMESÍ,-0.431865,39.195004
55,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT MARÍA AUXILIADORA,Priv. Conc.,46680,ALGEMESÍ,-0.438348,39.194081
56,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTA ANA,Priv. Conc.,46680,ALGEMESÍ,-0.429304,39.194206
57,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT NUESTRA SEÑORA DE LA SALUD,Priv. Conc.,46680,ALGEMESÍ,-0.43735,39.182323
58,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BLASCO IBÁÑEZ,Púb.,46680,ALGEMESÍ,-0.438477,39.194996
59,CENTRO DE EDUCACIÓN ESPECIAL,CEE PÚB. ALBERTO TORTAJADA,Púb.,46680,ALGEMESÍ,-0.425719,39.187911
60,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP RIBALTA,Púb.,46680,ALGEMESÍ,-0.426938,39.188689
61,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES SANT VICENT FERRER,Púb.,46680,ALGEMESÍ,-0.437372,39.185749
62,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CERVANTES,Púb.,46680,ALGEMESÍ,-0.428381,39.188053
63,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES BERNAT GUINOVART,Púb.,46680,ALGEMESÍ,-0.425055,39.195137
64,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VIRGEN DEL PILAR,Púb.,46680,ALGEMESÍ - CARRASCALET,-0.441915,39.199461
65,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PALANCIA,Púb.,46148,ALGÍMIA D'ALFARA,-0.365714,39.751401
66,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS,Priv. Conc.,46230,ALGINET,-0.468786,39.259792
67,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PEPITA GREUS,Púb.,46230,ALGINET,-0.474388,39.262686
68,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT YOCRIS,Priv. Conc.,46132,ALMÀSSERA,-0.3548,39.514566
69,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CARRAIXET,Púb.,46132,ALMÀSSERA,-0.357718,39.512929
70,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EL CASTELL,Púb.,46723,ALMOINES,-0.180824,38.94066
71,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ALMASSAF,Púb.,46440,ALMUSSAFES,-0.413607,39.293599
72,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT PERE APÒSTOL,Púb.,46715,L'ALQUERIA DE LA COMTESSA,-0.155418,38.935728
73,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAESTRO D. JAIME APARICIO PÉREZ,Púb.,46820,ANNA,-0.646368,39.021222
74,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP XARQUIA,Púb.,46266,ANTELLA,-0.591608,39.081523
75,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT JOSEP DE CALASSANÇ,Púb.,46812,AIELO DE MALFERIT,-0.588212,38.877186
76,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ISIDRO GIRANT,Púb.,46620,AYORA,-1.061397,39.060892
77,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CARLES SALVADOR,Púb.,46667,BARXETA,-0.418183,39.020684
78,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP GREGORI MAYANS I CISCAR,Púb.,46713,BELLREGUARD,-0.163765,38.943247
79,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT ASUNCIÓN DE NUESTRA SEÑORA,Priv. Conc.,46180,BENAGUASIL,-0.586706,39.595797
80,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LUIS VIVES,Púb.,46180,BENAGUASIL,-0.589163,39.592089
81,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT NUESTRA SEÑORA DEL SOCORRO,Priv. Conc.,46910,BENETÚSSER,-0.399896,39.419992
82,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CRISTOBAL COLÓN,Púb.,46910,BENETÚSSER,-0.395143,39.417853
83,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BLASCO IBÁÑEZ,Púb.,46910,BENETÚSSER,-0.400357,39.426746
84,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT MARC,Púb.,46722,BENIARJÓ,-0.184456,38.931305
85,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,"CENTRE PRIVAT FP LA SAFOR, COOP. VALENCIANA",Priv. Conc.,46722,BENIARJÓ,-0.188482,38.932238
86,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JAUME II EL JUST,Púb.,46791,BENIFAIRÓ DE LA VALLDIGNA,-0.303873,39.056409
87,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT CRISTO REY,Priv. Conc.,46450,BENIFAIÓ,-0.428444,39.286541
88,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANTA BÁRBARA,Púb.,46450,BENIFAIÓ,-0.42566,39.287162
89,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIV. ED. INFANTIL LA MILAGROSA,Priv. Conc.,46830,BENIGÀNIM,-0.442334,38.941628
90,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BEATA INÉS,Púb.,46830,BENIGÀNIM,-0.447134,38.941904
91,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOSEP GIL I HERVÁS,Púb.,46291,BENIMODO,-0.525938,39.211732
92,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BLASCO IBÁÑEZ,Púb.,46469,BENIPARRELL,-0.410614,39.379529
